OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var
127,0.0055285,0.1012139,0.0007178,0.0013077,0.0035193,0.0077860,127,1172,1.0000000,62.0000000,1922.0000000,60.0083351,0.9902850,1818.7861328
128,0.0197809,0.2267597,0.0007776,0.0013717,0.0029389,0.0048210,128,1430,1.0000000,62.0000000,1922.0000000,60.6138878,0.9939743,1848.1082764
129,0.0197824,0.1454782,0.0008989,0.0016762,0.0042188,0.0091246,129,1474,1.0000000,62.0000000,1922.0000000,60.5333328,0.9937258,1843.5444336
130,0.0110779,0.0556892,0.0009144,0.0017863,0.0052603,0.0126356,130,1524,1.0000000,62.0000000,1922.0000000,60.4472237,0.9934840,1838.6417236
131,0.0342198,0.2566396,0.0007819,0.0013974,0.0031060,0.0052729,131,522,1.0000000,62.0000000,1922.0000000,60.7555542,0.9941736,1856.5000000
132,0.0168580,0.1690564,0.0008906,0.0016358,0.0037145,0.0068405,132,1409,1.0000000,62.0000000,1922.0000000,60.6194458,0.9937422,1848.8138428
133,0.0102769,0.0652445,0.0010536,0.0020736,0.0052935,0.0114939,133,997,1.0000000,62.0000000,1922.0000000,60.4944458,0.9933817,1841.7055664
134,0.0770101,0.2234957,0.0009978,0.0020028,0.0055316,0.0124574,134,1056,1.0000000,62.0000000,1922.0000000,60.8944435,0.9945648,1864.3721924
135,0.0358164,0.1575914,0.0007751,0.0014747,0.0041615,0.0093086,135,948,1.0000000,62.0000000,1922.0000000,60.7638893,0.9941409,1857.0250244
136,0.0269231,0.0595710,0.0008855,0.0019097,0.0055211,0.0113814,136,1282,1.0000000,62.0000000,1922.0000000,60.6250000,0.9937373,1849.1361084
137,0.0238585,0.0668735,0.0009313,0.0018405,0.0053898,0.0123748,137,644,1.0000000,62.0000000,1922.0000000,60.5499992,0.9935167,1844.9000244
138,0.1044254,0.1899870,0.0009966,0.0020278,0.0054587,0.0103270,138,1542,1.0000000,62.0000000,1922.0000000,61.0666656,0.9954597,1873.3333740
139,0.0631396,0.1495347,0.0007828,0.0014713,0.0037900,0.0083666,139,1045,1.0000000,62.0000000,1922.0000000,60.9416656,0.9950482,1866.3194580
140,0.0751895,0.0569184,0.0007752,0.0014265,0.0033620,0.0064266,140,597,1.0000000,62.0000000,1922.0000000,60.8027763,0.9946505,1858.4305420
141,0.0486145,0.0529589,0.0008176,0.0015661,0.0038993,0.0072062,141,407,1.0000000,62.0000000,1922.0000000,60.7277794,0.9944330,1854.1944580
142,0.0099510,0.1833499,0.0009044,0.0017529,0.0045658,0.0096385,142,833,1.0000000,62.0000000,1922.0000000,60.3027763,0.9917184,1833.0472412
